population,waste_kg,segregated_kg,complaints,collection_delay,previous_gvp,risk_score
10918,4892.58,4215.24,25,6.5,1,88.42
10701,2298.54,1439.64,8,6.89,1,77.85
11234,3584.42,3169.08,14,3.86,0,38.47
21064,604.52,297.64,12,6.7,0,60.22
19280,2300.28,1443.42,8,2.45,1,52.8
28721,4437.98,3651.32,30,6.1,1,86.23
15406,3246.02,1936.38,27,1.12,0,40.28
12056,2497.74,1258.16,9,2.46,1,55.33
6231,4711.72,3866.02,27,3.57,1,73.71
5176,4342.93,2451.32,28,2.58,1,73.9
14340,1949.97,1251.68,21,3.1,0,41.55
28145,2950.47,2617.33,23,6.56,1,86.07
18093,2704.21,1223.83,37,2.05,1,68.03
27338,3344.91,1725.21,18,5.96,1,82.63
7541,2003.5,735.46,15,0.59,1,52.63
7333,1598.92,904.21,21,6.13,0,67.97
25836,4607.02,2119.7,33,6.34,0,88.16
7668,4657.44,3372.07,28,3.21,0,61.45
6299,4294.95,1931.56,3,5.78,0,51.73
15102,4901.92,3535.0,18,7.32,0,72.67
28121,3852.46,1906.63,29,6.41,0,81.32
22234,3941.0,2149.3,8,3.12,1,51.4
7477,3931.66,2130.46,39,3.87,1,100.0
25928,2662.73,1981.64,32,6.23,1,84.23
26089,2554.03,1549.23,33,2.34,1,77.03
25017,1581.02,867.53,3,6.43,0,55.14
27566,3401.69,2785.79,23,2.62,0,45.35
10996,1801.94,1197.52,21,6.45,0,63.76
29489,1660.14,776.29,25,0.69,0,48.09
13017,3136.83,2650.78,34,0.36,0,32.54
25050,2344.92,1262.64,14,7.98,1,90.36
19484,1484.85,551.53,21,6.96,1,92.68
24486,4172.25,2595.27,27,7.06,1,93.27
20695,4372.56,1828.46,30,7.61,0,92.83
21062,1254.65,603.68,30,3.51,1,86.49
20407,533.78,406.16,13,2.29,1,48.31
24474,2012.58,849.14,39,1.04,0,64.08
23476,4088.8,3245.77,0,4.01,0,32.58
8363,4276.28,3700.26,19,1.76,1,48.64
25651,1122.48,767.32,24,7.48,0,72.09
18401,3984.51,2951.32,2,0.03,1,30.24
13077,1020.67,757.82,18,1.15,0,27.76
17855,2255.28,2020.83,23,1.97,0,39.06
29174,4993.74,2685.86,24,1.59,1,68.39
26439,1366.66,600.74,4,1.81,0,23.76
25842,1192.84,758.1,11,5.25,0,42.64
16569,2402.6,1545.56,9,2.62,0,37.74
24603,3288.51,1472.76,25,4.92,0,65.34
14627,4698.05,3228.55,13,7.12,1,84.46
22154,4913.7,1757.97,22,4.82,0,74.4
20989,813.38,699.69,29,5.56,0,55.31
11244,1120.99,555.47,31,2.92,1,71.18
11661,4058.32,1508.71,7,1.28,1,62.61
6528,1717.84,703.52,36,2.56,0,67.7
8494,4481.82,2160.85,6,7.71,1,83.75
15840,3485.54,1745.03,0,4.97,0,41.16
16946,1003.3,369.26,1,2.22,1,48.52
9128,4246.38,2138.67,8,3.61,1,58.22
15422,1293.6,590.04,34,6.68,1,100.0
20104,2405.73,1342.98,8,5.35,0,48.39
10814,2984.83,1677.0,27,4.49,0,70.57
13455,2753.45,1477.1,16,7.08,1,86.0
14187,3587.73,1902.78,1,5.38,1,60.95
17626,3437.09,1372.61,17,5.14,0,62.91
14159,4964.19,1806.28,1,1.52,0,20.18
23423,4997.4,2304.61,19,0.85,0,42.34
13187,2824.07,2163.68,22,7.72,1,89.26
15847,928.4,830.86,20,4.79,0,52.55
14486,3775.29,3249.36,11,3.33,1,44.71
9572,4894.99,3070.73,30,4.71,1,92.8
22143,1932.47,1241.62,23,0.49,1,58.18
10886,2575.44,1347.01,10,6.58,0,68.32
12421,2411.5,1870.52,17,1.73,1,51.71
24818,731.39,563.62,4,6.44,1,69.68
28721,3525.19,2870.74,36,4.28,0,57.65
21771,2090.02,1760.9,30,2.21,1,67.55
27908,4043.59,2381.24,11,0.24,1,41.75
26354,4244.54,3275.86,26,6.53,1,80.13
17022,4195.54,3329.24,27,1.41,1,54.83
24257,2375.0,1234.17,24,0.41,0,40.69
13209,1946.96,1676.49,2,6.05,1,55.05
16512,3869.69,1555.18,35,2.8,1,88.6
18385,4106.25,3682.68,38,3.11,0,49.49
29012,2710.66,2096.83,38,1.98,1,61.94
26214,4518.64,1813.33,39,6.87,0,100.0
17231,1147.59,815.85,37,2.38,1,78.72
21314,4455.81,1643.3,29,1.68,1,71.49
10058,932.43,721.33,2,2.47,0,23.12
25109,1190.86,940.27,18,1.63,0,37.74
18825,2902.28,1977.4,9,2.54,0,36.64
18318,803.83,660.17,8,0.66,1,35.76
24157,737.63,297.88,33,1.27,0,60.77
20822,502.33,252.05,32,3.34,1,76.95
6811,2463.42,1423.36,20,7.04,0,71.98
12203,3985.81,1488.11,29,0.46,1,69.32
9417,656.77,391.78,5,1.7,1,43.26
23372,3435.16,1703.38,8,7.27,0,63.78
5878,4204.07,2379.52,34,7.12,1,100.0
10060,1256.0,733.26,18,5.44,1,78.01
19936,1160.89,967.8,21,1.92,0,30.39
22369,4373.6,2181.06,18,3.36,0,58.09
17582,4204.06,3537.96,8,1.69,1,38.57
26517,2925.24,1709.17,33,1.03,0,49.66
27973,4186.4,2220.02,30,3.04,0,60.52
8302,917.4,574.64,27,4.61,1,81.55
28812,2275.17,1319.05,14,2.88,1,50.72
20359,3820.09,1877.78,25,4.89,0,72.9
20905,1658.53,1039.03,38,2.37,0,56.71
7377,3885.48,1684.32,25,2.77,0,64.7
20546,2768.8,1505.02,19,6.33,1,83.96
23142,3876.2,2562.88,10,7.03,0,61.44
19519,2591.06,1496.01,20,2.58,1,75.01
7112,2155.57,1731.25,14,4.57,1,62.42
18080,1486.35,730.09,24,2.23,1,74.78
28398,1437.71,1270.03,1,0.43,1,26.38
23085,3881.71,3033.93,7,5.9,1,69.28
8435,1035.1,913.14,31,1.37,0,40.34
28998,886.92,719.27,15,3.41,0,43.03
28972,1293.31,553.74,17,3.9,0,51.75
9234,1289.06,824.42,21,1.48,1,52.2
25022,4203.98,1864.42,17,0.76,1,55.17
15167,2293.28,1834.68,30,2.78,0,51.1
19842,4956.75,3327.41,9,7.62,0,63.71
16129,1117.45,553.02,30,4.92,1,91.89
24565,3440.93,2963.6,8,3.05,1,56.11
29916,2519.28,1041.35,14,0.31,0,29.55
24877,2268.13,1497.25,23,4.8,1,73.91
28284,4437.88,3313.2,35,0.74,1,58.42
28650,4890.18,1869.84,9,4.34,1,83.54
7252,4427.87,3005.73,23,6.02,0,69.37
11334,1365.35,1090.57,2,3.39,1,48.24
23046,1493.59,578.23,3,2.4,1,47.05
19751,3452.33,2180.95,30,0.38,1,61.58
6253,1800.88,886.4,28,0.2,0,45.87
7376,3806.26,2719.99,15,3.44,1,61.53
18013,3048.89,1266.12,24,7.07,1,100.0
20404,2979.09,2578.04,15,1.95,0,42.82
9192,4228.46,3560.79,11,4.59,1,57.39
9282,3697.4,1672.28,17,5.47,0,60.43
8233,619.6,327.02,12,0.49,1,41.87
19123,722.57,486.43,32,1.22,1,72.09
5196,3207.01,2389.01,16,2.65,1,63.05
19310,2687.86,1595.14,12,5.36,0,54.49
16898,1670.83,728.42,21,3.51,0,56.99
16649,2383.95,970.94,30,5.87,1,93.39
21981,3910.6,3519.03,10,6.94,0,58.54
18065,4219.75,2533.72,37,6.07,1,98.98
23193,3025.5,2510.84,18,7.94,1,84.69
24098,2234.16,1374.7,26,6.03,1,91.41
28002,1718.14,1472.95,38,6.82,1,94.76
24981,2848.63,1134.52,17,6.66,0,71.65
17942,1916.37,790.91,7,5.84,1,76.02
17303,3038.43,2616.99,29,6.41,0,72.56
10892,3544.94,3088.07,0,7.48,1,74.77
19989,797.36,417.09,18,3.8,1,73.14
8478,504.8,275.29,39,5.11,1,99.35
28280,1455.25,871.47,16,4.12,0,49.55
26126,4525.3,2619.65,27,6.81,1,93.37
7993,3408.31,1549.16,21,3.45,1,78.92
24648,1273.82,1075.24,8,6.56,1,68.07
7927,4506.19,2204.96,12,6.39,1,76.69
23030,2614.8,1929.46,20,7.7,1,87.16
7192,2642.41,1022.44,4,1.99,1,53.17
17204,4709.94,1748.86,16,5.68,1,84.64
21446,767.69,544.72,16,6.06,1,82.59
23220,1468.3,787.68,33,7.49,1,100.0
15465,3135.97,2228.12,4,7.26,0,62.19
28040,1379.69,554.24,33,4.59,0,75.58
24358,3557.87,3103.95,16,4.63,0,47.68
10206,1463.42,1114.66,26,1.34,1,52.69
21780,946.21,787.19,22,7.8,1,86.75
23263,1431.43,608.44,11,2.04,0,39.87
13340,2402.3,1263.82,37,5.8,0,74.97
23455,1292.62,714.29,8,6.37,1,72.23
27459,1106.11,713.94,1,3.53,0,30.44
25427,4371.27,2243.67,30,1.69,0,57.33
24063,1941.79,744.38,24,1.51,0,52.66
20862,2123.41,1174.0,35,6.85,1,99.82
11763,748.72,366.87,18,4.09,0,57.07
24880,2108.16,1185.33,0,0.72,0,18.3
14104,1691.63,775.32,0,5.74,1,53.14
18304,3247.18,1604.25,17,2.0,0,42.31
12860,1424.26,989.61,9,7.01,0,62.64
12825,4497.64,2534.35,36,2.48,1,73.21
8940,4683.5,2528.91,4,1.6,1,49.46
29032,949.24,610.98,35,0.68,0,54.8
8694,983.31,761.6,8,4.09,0,33.65
7156,1018.97,568.97,4,3.61,0,37.71
28403,3288.06,2213.31,10,6.01,1,66.63
18875,1048.86,924.48,5,3.72,1,55.69
15947,4335.72,2762.24,16,2.75,0,44.33
23437,3894.22,3311.6,13,2.09,1,49.83
14582,4189.14,3294.84,21,2.23,1,66.5
8198,2867.27,1096.14,21,7.42,0,84.43
23242,4985.05,2921.26,0,1.32,0,20.29
9399,698.79,512.96,4,7.91,1,70.52
18824,2305.69,2058.27,6,2.62,1,45.78
28726,1957.72,1178.75,7,0.71,1,38.96
28403,4768.9,1912.48,3,1.99,0,25.79
14019,3095.87,2040.51,12,0.47,0,26.43
24507,4127.86,1732.09,21,6.32,0,67.8
20316,1266.54,966.79,12,4.1,0,49.8
16984,4903.85,3085.61,13,2.7,0,43.44
8498,2743.88,2052.11,18,5.3,0,51.11
14408,2721.52,2253.83,21,5.05,1,69.03
21297,4868.98,3388.43,13,7.52,1,75.6
29665,2213.3,1520.18,8,7.69,1,73.61
5122,2288.86,1751.01,16,5.45,1,76.77
22944,3131.39,2546.91,0,6.54,0,55.87
26158,1076.24,891.1,19,6.34,1,79.84
28779,1944.89,719.68,37,3.93,0,75.3
15595,1369.44,898.22,15,5.64,1,72.03
7961,964.78,452.43,4,0.63,1,37.16
11774,4397.65,3620.1,28,6.06,0,78.55
26263,3151.99,2227.26,5,7.69,1,75.83
26948,2114.03,1228.51,7,0.68,1,53.3
20926,2339.01,1060.64,5,6.69,0,66.99
8068,2441.84,1309.95,35,7.46,0,80.2
8048,3349.17,2468.6,39,1.81,1,70.96
16954,4670.46,2159.61,22,4.2,0,60.34
19706,4697.51,1885.91,24,7.42,1,100.0
5809,2261.71,1896.26,25,7.68,0,71.56
22152,1981.68,1526.52,24,1.02,1,69.08
18612,2529.71,1163.38,21,2.79,0,47.6
5307,3055.7,1560.77,39,5.59,0,84.7
7391,2578.18,2280.76,29,1.77,1,62.97
16357,3464.39,2561.92,3,2.6,0,28.26
23064,2994.8,2053.79,15,0.19,1,45.5
25634,1943.22,1008.91,38,1.23,0,52.1
15782,2055.79,1057.74,16,4.5,0,56.3
12383,2203.67,819.19,8,5.22,1,77.54
29207,925.88,695.02,34,5.19,0,69.2
16463,1247.28,466.17,24,6.23,0,78.73
12884,3754.01,1323.93,22,3.32,1,86.31
16057,2250.94,1690.95,16,2.19,1,58.83
5302,1465.43,1277.68,4,0.12,1,27.95
12548,3032.03,2322.76,15,1.65,1,44.78
17888,3899.93,2376.62,17,2.5,1,59.66
27961,1658.4,1023.77,37,1.43,1,71.18
23455,4220.55,2489.6,12,0.16,1,47.47
24532,4673.77,2470.34,5,1.26,0,27.85
18622,3188.28,2030.75,17,5.33,1,72.01
7764,3510.26,2060.99,39,5.04,0,72.76
14773,736.59,500.14,19,7.49,1,78.38
29925,4754.84,4012.92,15,6.39,0,56.88
6104,2266.18,2033.34,26,4.54,1,64.38
26980,4657.55,1831.86,25,1.1,1,64.41
22112,3105.4,1743.92,11,4.51,1,67.01
12097,520.78,234.03,38,0.49,1,65.27
24449,673.44,366.13,23,3.45,0,55.92
25922,3561.88,1809.83,2,3.12,0,40.99
6080,3032.01,1352.26,16,3.42,0,50.13
7660,619.4,477.08,36,2.24,1,68.04
21643,3845.57,2395.63,15,5.49,1,79.52
29977,4334.65,3708.67,22,6.73,0,61.9
5599,2733.88,1005.86,24,6.15,0,73.2
21642,2595.91,1004.2,28,5.02,0,79.79
8413,524.63,299.98,34,4.31,1,90.08
21253,4039.92,1592.35,5,0.25,0,31.09
20582,1988.22,983.18,20,5.78,1,89.59
7261,4454.44,3974.77,21,4.36,1,58.68
22018,2178.77,1012.97,6,2.17,0,42.31
27425,3042.85,1396.56,26,2.62,0,59.06
26586,1716.54,1142.36,4,7.48,1,79.57
5724,1222.65,762.81,18,4.99,0,58.11
11147,3987.09,2668.32,13,3.81,1,64.79
11020,2734.66,1523.76,6,4.97,1,65.36
16332,2914.2,2345.11,32,3.31,1,75.61
8575,4844.37,2064.76,9,3.76,1,67.29
26358,4836.11,2832.1,10,2.32,1,61.38
24419,4350.39,3173.04,34,3.52,0,54.49
25208,1344.24,1112.4,35,5.48,0,65.48
9955,3174.23,1756.19,1,0.32,0,29.46
5364,4451.66,2948.16,11,6.36,1,74.33
27765,2185.09,847.87,28,2.26,1,75.0
12222,954.98,423.7,31,5.46,0,71.16
21406,4149.33,1610.05,39,5.14,0,87.57
27735,2667.94,2001.84,22,5.22,1,72.99
5904,3039.77,1545.52,0,4.87,0,43.62
5136,4919.65,3680.19,34,7.67,1,100.0
5135,3232.45,1249.4,6,4.07,1,63.91
8908,2412.41,1988.79,4,5.86,0,47.45
6291,2164.93,1752.6,26,5.64,0,66.43
25499,2379.29,949.12,24,1.89,0,57.68
20148,1032.8,374.97,2,2.27,1,53.11
29501,4076.38,1552.93,6,3.39,0,62.91
25037,4269.73,3499.03,23,2.22,0,47.88
29079,1779.79,852.67,10,2.93,1,62.17
10963,1867.08,1216.5,27,3.13,0,49.44
12194,4434.5,2591.68,16,4.83,1,75.39
26235,607.87,478.72,23,1.76,0,44.49
11122,2842.06,1758.93,18,6.43,0,74.41
6430,2586.54,1617.53,14,3.5,0,53.07
21728,3605.57,3223.38,13,5.65,0,53.49
25024,1235.26,534.34,27,0.65,0,39.86
29204,3507.49,2830.15,20,3.76,1,68.42
28194,2195.3,830.84,23,0.23,0,36.58
8005,3284.22,2012.26,23,5.41,1,75.91
24302,680.43,569.85,8,2.75,1,47.07
26153,2577.77,1845.34,36,7.59,1,100.0
22453,2850.13,2071.67,22,2.59,1,67.62
25494,1464.47,724.66,28,4.51,0,69.11
25949,1128.31,654.66,35,2.06,0,59.2
16163,1348.13,743.66,36,4.96,1,87.56
6003,2048.63,1304.56,26,3.74,1,74.37
16404,935.65,565.34,31,2.97,0,49.48
10044,4762.94,2523.38,18,1.63,1,52.01
7843,2322.47,1203.07,29,0.89,1,69.49
8123,4140.36,2020.37,12,0.96,1,49.81
22434,4884.88,2690.47,28,7.99,0,91.88
17613,863.31,373.35,3,3.3,0,44.27
18495,3432.51,2847.81,36,0.02,0,37.93
23629,4421.34,3011.67,9,7.62,0,66.97
18706,3354.05,1420.72,26,0.16,0,41.62
20750,2430.62,1778.29,0,3.35,0,19.67
7150,2439.84,1991.44,6,5.74,0,45.54
26278,661.54,317.97,39,7.32,0,89.23
16219,2905.7,1257.68,33,5.7,0,78.79
8880,4970.94,1763.39,8,3.71,0,61.81
25333,4814.18,1810.07,5,7.8,0,63.28
23365,681.8,524.46,32,0.31,1,58.05
6325,3676.09,3282.57,39,7.9,1,98.44
9826,1857.94,696.14,6,6.8,1,85.93
5393,4563.45,3474.79,26,7.43,1,95.49
11768,703.02,273.84,11,2.04,0,42.02
7499,4711.43,3183.39,29,1.14,1,60.08
22747,4268.64,3269.1,16,5.31,0,51.05
18063,1028.77,563.32,5,4.13,1,64.44
29505,769.21,273.85,12,4.19,0,62.76
23735,4256.18,2882.94,21,7.4,0,75.92
20288,1200.91,1075.04,31,4.96,0,55.04
17732,2907.04,1429.36,0,2.49,0,33.54
6362,4620.85,2098.88,38,3.2,1,100.0
6755,3053.52,1276.86,25,1.07,1,67.39
20407,2287.55,1499.24,35,1.54,0,59.9
5109,2502.57,1696.86,37,1.15,0,48.07
6058,784.03,616.05,6,6.48,1,66.05
10478,4859.39,3713.5,3,5.64,1,66.75
27103,1897.94,1595.98,31,4.24,1,77.89
16473,1352.14,1072.48,7,2.99,1,44.5
22739,1787.21,868.58,5,5.35,1,65.07
15289,4839.68,3173.54,18,6.5,1,90.08
9328,924.29,474.69,36,7.05,1,100.0
14278,4402.86,2339.6,31,4.38,0,77.99
7293,3685.3,3178.82,20,6.56,1,88.9
24256,4235.09,3070.62,7,4.09,0,41.95
9588,4891.54,4334.02,13,3.8,0,39.33
14409,4289.7,2485.03,27,6.92,1,100.0
29500,4745.22,3063.47,6,3.09,0,41.34
19799,1071.21,661.91,20,3.17,1,61.04
16464,4081.05,1669.18,0,2.44,1,48.06
18575,2955.54,1419.21,13,4.15,0,55.53
24602,2945.73,1885.86,9,4.36,0,44.93
11362,4545.15,1759.23,27,5.28,1,94.16
20910,4873.12,4202.11,36,3.44,1,83.71
26817,3671.77,1535.22,5,1.74,1,57.01
19310,2673.22,1226.71,31,6.93,0,91.6
16163,2553.82,1968.81,26,2.77,1,56.39
8628,2238.54,902.83,38,7.38,0,96.22
11207,2127.2,1797.81,36,1.66,0,51.77
28650,2261.78,1694.38,4,4.48,0,30.4
18531,903.89,350.48,29,4.29,0,65.71
12533,848.46,619.82,23,6.63,1,79.89
15459,4009.41,2796.15,4,1.11,1,40.91
19450,2507.33,1921.97,10,7.28,0,66.69
18438,4688.08,3776.29,37,4.25,1,95.32
22494,3254.99,2425.27,21,4.69,0,51.52
11437,658.29,442.63,13,4.08,1,65.27
21230,1208.86,637.5,12,0.29,0,30.57
16066,1426.19,1046.11,33,3.98,0,62.93
28514,4890.81,4285.99,11,2.11,1,50.09
8948,1484.17,999.05,6,2.74,1,51.29
8710,2820.9,2018.04,22,5.19,1,86.16
16541,4712.8,2782.53,39,3.98,1,97.51
17708,4897.37,3750.73,7,0.75,0,17.02
22271,1563.62,1405.25,10,0.58,0,20.79
15100,721.03,315.97,18,1.49,1,64.41
27842,1191.21,549.53,7,1.53,1,51.63
16854,784.98,507.64,26,4.87,0,67.21
8233,1378.06,847.17,10,1.42,0,30.7
7980,3058.56,2032.0,5,7.05,1,75.43
29335,4606.02,1736.43,10,1.68,0,42.13
8352,2917.48,1669.83,37,0.73,0,42.97
28696,3316.95,2224.47,37,7.01,1,100.0
11951,1408.4,946.24,20,2.36,0,38.91
7335,4102.63,2919.16,16,3.4,0,39.94
12617,3280.05,2447.31,32,7.67,1,100.0
20367,4388.62,3084.54,7,7.55,0,63.68
15697,4769.79,3742.54,26,5.72,1,83.94
24639,2065.55,1432.71,27,0.55,1,53.77
20274,907.61,585.98,28,4.75,0,64.33
15019,1516.68,1036.51,8,7.91,1,84.69
20865,2470.29,1002.09,28,7.58,1,100.0
29286,4755.62,2378.93,24,0.85,0,45.99
15295,2202.39,1409.69,35,3.17,1,84.26
8836,3968.48,3294.41,6,2.52,0,18.67
15219,2932.15,2121.34,24,1.04,0,38.25
26002,1322.64,528.69,33,5.56,1,95.46
10440,1943.3,1313.19,11,2.19,1,50.95
28728,3439.36,1623.23,29,2.76,1,76.05
19707,3527.84,2658.97,3,0.72,1,36.28
20039,2456.42,1977.64,28,3.98,1,83.03
12926,1528.91,1034.15,24,1.27,0,38.18
28011,3748.58,2531.23,7,3.46,0,40.26
5901,1259.93,675.61,2,1.15,1,51.25
12466,4715.01,2807.5,29,7.63,1,100.0
15460,1345.57,1110.44,9,1.16,0,30.14
16931,982.91,735.04,19,4.18,0,48.64
16853,2739.41,1741.9,2,1.58,1,51.04
8698,2837.97,1568.06,38,0.61,0,57.57
10639,2786.87,1052.62,21,1.62,0,50.79
7381,2465.0,1056.63,37,0.44,1,72.99
19311,4976.67,2270.18,6,1.12,0,29.71
13771,2688.26,1492.96,8,3.95,1,63.32
19144,2650.76,2304.25,24,5.21,1,79.34
19742,2397.95,1505.51,24,0.7,1,56.94
22550,800.72,383.67,31,3.53,1,80.15
18675,3168.3,1293.18,37,4.65,1,96.54
21198,1525.85,817.96,32,1.87,1,77.51
19678,3369.24,2690.85,5,2.98,0,36.41
21310,728.75,408.71,12,0.57,1,42.53
20416,4916.24,3809.49,36,1.76,1,68.41
12905,2610.52,2066.2,21,3.73,0,50.2
11157,4535.4,1863.83,34,7.92,0,100.0
24685,2640.03,1807.79,22,7.97,0,81.46
13567,771.49,676.98,1,7.84,0,42.19
18728,4199.96,2398.92,18,3.38,0,50.56
9924,3416.83,1291.63,32,0.65,1,67.77
15785,4017.91,3446.63,26,2.59,0,44.58
18241,2426.76,2028.81,5,1.9,0,30.33
20650,3370.72,2147.74,8,0.11,0,14.96
18159,4353.03,2845.75,34,0.76,0,41.44
14016,3339.79,1557.87,39,3.63,1,88.24
29044,2064.53,1653.07,30,2.72,0,51.43
17818,3481.38,2173.18,3,1.44,1,46.49
